ID del Candidato,Nombre del Candidato,Edad,Género,Experiencia Laboral (años),Nivel de Educación,Universidad,Puntuación en Prueba Técnica,Calificación de la Entrevista (1-5),Resultado de la Entrevista,Puntuación de Habilidades Técnicas,Puntuación de Entrevista General,Distancia al Lugar de Trabajo,Puntuación de Referencias,Puntuación de Experiencia Relevante (1-10),Puntuación de Comportamiento en Equipo (1-5)
1,Candidato 1,41,Masculino,5.291361051866029,Doctorado,Universidad A,82.11849408492637,1,Reprobado,83.64122514126528,3,39.803740436286525,2.2649988262237866,4,5
2,Candidato 2,43,Femenino,13.844765361606079,Licenciatura,Universidad A,62.11943918983927,2,Reprobado,80.84423001686719,5,24.05746862374263,6.297384270960752,6,4
3,Candidato 3,38,Femenino,2.3658968227324486,Maestría,Universidad B,74.77362950123346,2,Aprobado,55.560205035985256,4,43.429253351551516,8.787726596729666,4,4
4,Candidato 4,48,Femenino,8.196781782657219,Maestría,Universidad C,92.08992765168183,4,Aprobado,76.25882103194573,3,41.87201674281385,3.196750642624351,3,3
5,Candidato 5,41,Masculino,6.0362877775448744,Licenciatura,Universidad C,55.88055746916281,2,Aprobado,57.886042026570664,4,9.853713443716838,7.8437458840022884,4,3
6,Candidato 6,31,Femenino,9.284951370923586,Doctorado,Universidad A,52.51793319399465,5,Reprobado,86.26048743390383,2,14.008009517541495,3.8629153485607897,3,5
7,Candidato 7,22,Femenino,11.849449035621614,Doctorado,Universidad A,99.78418891458423,2,Aprobado,81.39193610356898,2,44.97940062078558,5.808958044627659,6,1
8,Candidato 8,26,Masculino,15.174132186844844,Doctorado,Universidad A,68.97226424414237,2,Reprobado,67.36391582045299,1,18.055878027367125,2.48263408986171,10,2
9,Candidato 9,43,Femenino,6.78694800177859,Licenciatura,Universidad A,78.60443683052328,1,Reprobado,70.76102363589408,2,29.439382242949602,2.949816135321143,1,5
10,Candidato 10,25,Masculino,1.1985928855457426,Maestría,Universidad A,70.08746682326802,3,Aprobado,53.16709982482541,3,35.72189474465947,7.891836867168471,9,5
11,Candidato 11,39,Femenino,19.636603367571713,Licenciatura,Universidad B,72.002766668552,2,Reprobado,64.08839871492336,3,7.615752599725291,8.84476460287312,3,5
