genre,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
A Capella,The Singers Unlimited,All the Things You Are,8,0.977,0.243,225850,0.0622,0.0566,0.0907,-19.874,0.0383,134.759,0.038
A Capella,Hyannis Sound,Heart of the Matter,0,0.49,0.616,285187,0.506,0.0,0.142,-7.704,0.0355,91.02,0.188
A Capella,Glad,A Debtor to Mercy Alone,24,0.599,0.389,181267,0.153,0.0,0.0902,-12.023,0.043,120.626,0.236
A Capella,The Singers Unlimited,"Here, There and Everywhere",10,0.984,0.261,173732,0.0735,2.47e-05,0.084,-17.343,0.0345,167.661,0.187
A Capella,The Singers Unlimited,The Fool On the Hill,15,0.971,0.291,271735,0.0979,0.00961,0.151,-17.929,0.0302,110.908,0.113
A Capella,The King's Singers,Cry Me a River,1,0.956,0.259,201040,0.0525,0.000205,0.113,-21.525,0.0352,107.431,0.0775
A Capella,The Singers Unlimited,I Don't Know Where I Stand,5,0.976,0.18,207760,0.0674,0.00361,0.104,-18.92,0.0332,78.818,0.0665
A Capella,MC6 A Cappella,Goodnight Sweetheart,23,0.83,0.628,144867,0.299,0.0,0.31,-9.483,0.0473,135.896,0.557
A Capella,Hyannis Sound,Use Somebody,2,0.434,0.513,228307,0.524,0.0,0.242,-6.999,0.0284,138.067,0.559
A Capella,The Singers Unlimited,Lost in the Stars,6,0.972,0.32,197262,0.0628,3.39e-05,0.11,-18.562,0.0335,118.643,0.0516
A Capella,MC6 A Cappella,Surfer Girl,18,0.69,0.524,174320,0.298,0.0,0.315,-9.789,0.0254,94.508,0.543
A Capella,The King's Singers,I've Got You Under My Skin,1,0.958,0.38,221867,0.067,0.0,0.111,-21.115,0.0321,95.665,0.179
A Capella,Peter Hollens,December Song (A Capella Bonus Track),20,0.863,0.253,238039,0.417,6.33e-06,0.0974,-3.561,0.0287,143.374,0.208
A Capella,Hyannis Sound,"Ok, It's Alright With Me",1,0.484,0.683,149933,0.521,0.0,0.106,-6.649,0.0335,151.952,0.518
A Capella,Glad,"All Glory, Laud and Honor",7,0.914,0.171,234707,0.185,0.0,0.162,-13.997,0.0306,76.832,0.189
A Capella,Glad,O Sacred Head Now Wounded,10,0.793,0.315,167760,0.187,0.0,0.225,-9.709,0.0284,80.885,0.19
A Capella,The UNCG Spartones,Something's Missing (A Capella) [Bonus Track],1,0.869,0.283,211000,0.447,0.0,0.137,-6.217,0.0351,130.481,0.466
A Capella,MC6 A Cappella,For the Longest Time,44,0.78,0.616,223813,0.298,0.0,0.0973,-7.712,0.0274,82.471,0.712
A Capella,Hyannis Sound,I Still Haven't Found What I'm Looking for,1,0.894,0.308,303720,0.419,0.0,0.0528,-6.351,0.0323,113.526,0.232
A Capella,The King's Singers,Beyond the Sea,1,0.918,0.636,230880,0.0884,0.0,0.11,-19.456,0.0409,119.801,0.573
A Capella,The King's Singers,What Child Is This?,10,0.977,0.276,197507,0.0896,0.00172,0.0917,-25.28,0.0413,90.377,0.156
A Capella,Glad,Sing it A Cappella,7,0.771,0.51,215333,0.326,0.0,0.12,-11.754,0.0285,142.402,0.418
A Capella,Hyannis Sound,Clarity,0,0.8,0.653,272147,0.458,1.99e-06,0.201,-8.897,0.0657,93.027,0.472
A Capella,Hyannis Sound,Part Time Lover,5,0.491,0.55,206147,0.721,0.0,0.114,-4.843,0.0968,174.889,0.722
A Capella,The Singers Unlimited,Autumn in New York,10,0.984,0.234,169849,0.094,3.47e-05,0.0858,-17.571,0.031,140.817,0.107
A Capella,MC6 A Cappella,409/Little Deuce Coupe,20,0.782,0.55,211133,0.448,0.0,0.0657,-7.921,0.0655,115.038,0.891
A Capella,Peter Hollens,December Song [Bonus Track] - A Capella,18,0.861,0.185,238053,0.394,5.08e-06,0.0949,-3.555,0.0324,45.957,0.191
A Capella,The Swingle Singers,The Christmas Song (Merry Christmas to You),9,0.859,0.71,194347,0.34,0.000457,0.114,-19.158,0.0437,130.014,0.389
A Capella,Tonic Sol-Fa,29 Ways to My Back Door,0,0.655,0.6,129653,0.786,0.0,0.238,-6.784,0.0685,89.418,0.884
A Capella,Glad,Holy Holy Holy,12,0.524,0.297,253653,0.155,0.0,0.11,-11.094,0.0282,91.833,0.145
